method,initialization,n_trajectories,n_seeds,updates,alpha,beta,handoff_update,damping,target_kl,record_interval,base_seed
sampled_pg_reward_only,uniform,4,100,2000,0.05,0.2,1000,0.01,0.001,10,91000
sampled_pg_logbarrier_handoff,uniform,4,100,2000,0.05,0.2,1000,0.01,0.001,10,91000
sampled_npg_reward_only,uniform,4,100,2000,0.05,0.2,1000,0.01,0.001,10,91000
sampled_npg_logbarrier_handoff,uniform,4,100,2000,0.05,0.2,1000,0.01,0.001,10,91000
sampled_pg_logbarrier_fixed,uniform,4,100,2000,0.05,0.2,1000,0.01,0.001,10,91000
sampled_npg_logbarrier_fixed,uniform,4,100,2000,0.05,0.2,1000,0.01,0.001,10,91000
sampled_pg_reward_only,uniform,32,100,2000,0.05,0.2,1000,0.01,0.001,10,91000
sampled_pg_logbarrier_handoff,uniform,32,100,2000,0.05,0.2,1000,0.01,0.001,10,91000
sampled_npg_reward_only,uniform,32,100,2000,0.05,0.2,1000,0.01,0.001,10,91000
sampled_npg_logbarrier_handoff,uniform,32,100,2000,0.05,0.2,1000,0.01,0.001,10,91000
sampled_pg_logbarrier_fixed,uniform,32,100,2000,0.05,0.2,1000,0.01,0.001,10,91000
sampled_npg_logbarrier_fixed,uniform,32,100,2000,0.05,0.2,1000,0.01,0.001,10,91000
sampled_pg_reward_only,uniform,128,100,2000,0.05,0.2,1000,0.01,0.001,10,91000
sampled_pg_logbarrier_handoff,uniform,128,100,2000,0.05,0.2,1000,0.01,0.001,10,91000
sampled_npg_reward_only,uniform,128,100,2000,0.05,0.2,1000,0.01,0.001,10,91000
sampled_npg_logbarrier_handoff,uniform,128,100,2000,0.05,0.2,1000,0.01,0.001,10,91000
sampled_pg_logbarrier_fixed,uniform,128,100,2000,0.05,0.2,1000,0.01,0.001,10,91000
sampled_npg_logbarrier_fixed,uniform,128,100,2000,0.05,0.2,1000,0.01,0.001,10,91000
sampled_pg_reward_only,adverse,4,100,2000,0.05,0.2,1000,0.01,0.001,10,91000
sampled_pg_logbarrier_handoff,adverse,4,100,2000,0.05,0.2,1000,0.01,0.001,10,91000
sampled_npg_reward_only,adverse,4,100,2000,0.05,0.2,1000,0.01,0.001,10,91000
sampled_npg_logbarrier_handoff,adverse,4,100,2000,0.05,0.2,1000,0.01,0.001,10,91000
sampled_pg_logbarrier_fixed,adverse,4,100,2000,0.05,0.2,1000,0.01,0.001,10,91000
sampled_npg_logbarrier_fixed,adverse,4,100,2000,0.05,0.2,1000,0.01,0.001,10,91000
sampled_pg_reward_only,adverse,32,100,2000,0.05,0.2,1000,0.01,0.001,10,91000
sampled_pg_logbarrier_handoff,adverse,32,100,2000,0.05,0.2,1000,0.01,0.001,10,91000
sampled_npg_reward_only,adverse,32,100,2000,0.05,0.2,1000,0.01,0.001,10,91000
sampled_npg_logbarrier_handoff,adverse,32,100,2000,0.05,0.2,1000,0.01,0.001,10,91000
sampled_pg_logbarrier_fixed,adverse,32,100,2000,0.05,0.2,1000,0.01,0.001,10,91000
sampled_npg_logbarrier_fixed,adverse,32,100,2000,0.05,0.2,1000,0.01,0.001,10,91000
sampled_pg_reward_only,adverse,128,100,2000,0.05,0.2,1000,0.01,0.001,10,91000
sampled_pg_logbarrier_handoff,adverse,128,100,2000,0.05,0.2,1000,0.01,0.001,10,91000
sampled_npg_reward_only,adverse,128,100,2000,0.05,0.2,1000,0.01,0.001,10,91000
sampled_npg_logbarrier_handoff,adverse,128,100,2000,0.05,0.2,1000,0.01,0.001,10,91000
sampled_pg_logbarrier_fixed,adverse,128,100,2000,0.05,0.2,1000,0.01,0.001,10,91000
sampled_npg_logbarrier_fixed,adverse,128,100,2000,0.05,0.2,1000,0.01,0.001,10,91000
